Type	Uid	Gid	Mode	MTime	CTime	Meta	Version	Chattr	Acl	DefaultAcl	Selinux	Capabilities	Size	MD5	SHA1	SHA256	SHA512
																	
d	0	0	755				0	---------------			unconfined_u:object_r:admin_home_t:s0		1397647706 1397647706				
/																	
f	0	0	644			empty	2003238001	-------------e-			unconfined_u:object_r:admin_home_t:s0		1396604215 1397647706 0	d41d8cd98f00b204e9800998ecf8427e	da39a3ee5e6b4b0d3255bfef95601890afd80709	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	cf83e1357eefb8bdf1542850d66d8007d620e4050b5715dc83f4a921d36ce9ce47d0d13c5d85f2b0ff8318d2877eec2f63b931bd47417a81a538327af927da3e
/AAAA																	
f	0	0	644			ASCII text	2003238002	-------------e-			unconfined_u:object_r:admin_home_t:s0		1395321665 1397647706 6	0084467710d2fc9d8a306e14efbe6d0f	a8eec30a5b2d71bc890175f5b361ebb28d7c54a8	3b09aeb6f5f5336beb205d7f720371bc927cd46c21922e334d47ba264acb5ba4	dec5b5e130d1694e65b1bf3f915024d51e87817248ab625e8732e183c321a9aaa09f92c04ed3d1d3a5b173838bd40ff5b1c8bb6318bcea70f4f72a8bff0ec2a1
/XXXX																	
d	0	0	555				2003222987	-------------e-			system_u:object_r:bin_t:s0		1397647637 1397647637				
/bin																	
f	0	0	755			ELF 64-bit LSB executable, x86-64, stripped	2003227860	-------------e-			system_u:object_r:bin_t:s0		1394622735 1397647517 24232	b1a97763fdac7dc549e495f5de31447d	18caa634671dc6918aa6d15a777aafe6f4263883	83bf8f653265e911e456514ecd4785bcb7bc8cda0a314b64d40cc3dd6779e896	261f156205dae9b619b315e023900e0feb148c9ac4c00015d9749f5a4dfda6fc6426f4fa5c0b7c86913e97a6ec721156484f54eeb09b377566dd95b71cb2b8b7
/bin/arch																	
l	0	0	777			gawk					system_u:object_r:bin_t:s0		1397647617 1397647617 4	9579db47f4da81b13b6263880a01f54e	f820a944b12e19bd89f842c5849ba1224d225fd4	bcf68a1acd997baefcf4102f1821ed2371a09d822b9f49c085817d4edc65e1e2	e06545780d3c87bc53a614561e175fb18bd9efe9b3ca001b9fb494034765e0fd7b9ab34be0a71a8967462bcc2ddc366135471f5279b2cf6a68de48ef546a9283
/bin/awk																	
f	0	0	755			ELF 64-bit LSB executable, x86-64, stripped	2003227861	-------------e-			system_u:object_r:bin_t:s0		1394622735 1397647517 23720	22fe0696526d9dca9b3d54afc0cfbe92	e5bbc026531d21116680db1f6489b6fe7b5f882f	07a6b4090881edc2077589186b0d9ec1e232aa94e3644084dd2cc4c38fef2107	e34514b40be897153032ce658e84734ad23d2574678f76a007af22ba40c4d8e09d473631b2760f96efaaa3fb602b4d44d817e72adc6391a92400e09967c34129
/bin/basename																	
f	0	0	755			ELF 64-bit LSB executable, x86-64, stripped	2003226775	-------------e-			system_u:object_r:shell_exec_t:s0		1374153544 1397647493 903336	4e4083f7e9f39db3099c26116127458b	54e79fe61563f6f5d67ef69df8dabd0f0e6c5f43	8f9cdbc568ecef00d918c081a7ec09ec76b02ca700e285de7664984c438d16b1	2e8ef59314b39421e6a3d2ee768a1257676d2126dd8b63193fb6d2f513e03e8c8689aadf6144a88c410efb028ae5290ef80e032d428572316b5f4b2120f80014
/bin/bash																	
f	0	0	755			ELF 64-bit LSB executable, x86-64, stripped	2003227862	-------------e-			system_u:object_r:bin_t:s0		1394622735 1397647517 45224	5502ffc817e8c049ca4561d2f36e470d	165a9068176863182034152a54f7284009588886	2dc8f4a33f3b249abe9fbd3bb6557a4c6e9d5dd65aaeeb58aaea4c2fae943f5e	db5deedf0c25ecab5323e315d26bb6ed984c40b5622d3fd7884ecd423817c011a6e1d236d4037e7f98c1734d97ea2586e353d6c7a88af5b20f9b1d1765a83125
/bin/cat																	
f	0	0	755			ELF 64-bit LSB executable, x86-64, stripped	2003227863	-------------e-			system_u:object_r:bin_t:s0		1394622735 1397647517 52936	1a30bace133bdec6140d87354a043519	44c4c3ea9c466b94765187557d7816616f24670b	93ae46a1b7583ca6556f40994e2c1f66511c661052e04b1585d4086f190e6c7e	9cf3a7c70a1e5e62e4c830a396d90658ffbef2af530200cf946d481dba1bce00f7e84ed7deb8801af3ccdf0f5c233872f02512e9909bbf93d2241d9ff4a75f45
/bin/chgrp																	
f	0	0	755			ELF 64-bit LSB executable, x86-64, stripped	2003227864	-------------e-			system_u:object_r:bin_t:s0		1394622735 1397647517 48712	a439b9967f32b68ed75b0abe825a3878	c80d63ec8fe90bd38c7678df5d55bc90e2f56000	98f844a183dda94da94fb379e2fe721c3800348b63991b759ce81c1a44e0d0af	fd916fbdd3821d1b1effa9f64a56474e02d3931ef4191835b75ec232d884ca153d3991f7f5c69e0d0bb57f70b98b922d2d8ec5c607ca32f9a6da4bbeeb1986f5
/bin/chmod																	
