Package.Architecture	Version	Origin
MAKEDEV.x86_64	3.24-6.el6	@base
audit-libs.x86_64	2.2-2.el6	@base
basesystem.noarch	10.0-4.el6	@base
bash.x86_64	4.1.2-15.el6_4	@base
binutils.x86_64	2.20.51.0.2-5.36.el6	@base
bzip2.x86_64	1.0.5-7.el6_0	@base
bzip2-libs.x86_64	1.0.5-7.el6_0	@base
ca-certificates.noarch	2013.1.95-65.1.el6_5	@updates
centos-release.x86_64	6-5.el6.centos.11.1	installed
checkpolicy.x86_64	2.0.22-1.el6	@base
chkconfig.x86_64	1.3.49.3-2.el6_4.1	@base
coreutils.x86_64	8.4-31.el6_5.1	@updates
coreutils-libs.x86_64	8.4-31.el6_5.1	@updates
cpio.x86_64	2.10-11.el6_3	@base
cracklib.x86_64	2.8.16-4.el6	@base
cracklib-dicts.x86_64	2.8.16-4.el6	@base
curl.x86_64	7.19.7-37.el6_4	@base
cyrus-sasl-lib.x86_64	2.1.23-13.el6_3.1	@base
dash.x86_64	0.5.5.1-4.el6	@base
db4.x86_64	4.7.25-18.el6_4	@base
db4-utils.x86_64	4.7.25-18.el6_4	@base
dbus-glib.x86_64	0.86-6.el6	@base
dbus-libs.x86_64	1:1.2.24-7.el6_3	@base
diffutils.x86_64	2.8.1-28.el6	@base
dracut.noarch	004-336.el6_5.2	@updates
dracut-kernel.noarch	004-336.el6_5.2	@updates
elfutils-libelf.x86_64	0.152-1.el6	@base
ethtool.x86_64	2:3.5-1.2.el6_5	@updates
expat.x86_64	2.0.1-11.el6_2	@base
file.x86_64	5.04-15.el6	@base
file-libs.x86_64	5.04-15.el6	@base
filesystem.x86_64	2.4.30-3.el6	@base
findutils.x86_64	1:4.4.2-6.el6	@base
gamin.x86_64	0.1.10-9.el6	@base
gawk.x86_64	3.1.7-10.el6	@base
glib2.x86_64	2.26.1-7.el6_5	@updates
glibc.x86_64	2.12-1.132.el6	@base
glibc-common.x86_64	2.12-1.132.el6	@base
gmp.x86_64	4.3.1-7.el6_2.2	@base
grep.x86_64	2.6.3-4.el6_5.1	@updates
groff.x86_64	1.18.1.4-21.el6	@base
grubby.x86_64	7.0.15-5.el6	@base
gzip.x86_64	1.3.12-19.el6_4	@base
hwdata.noarch	0.233-9.1.el6	@base
info.x86_64	4.13a-8.el6	@base
initscripts.x86_64	9.03.40-2.el6.centos.1	@updates
iproute.x86_64	2.6.32-31.el6	@base
iptables.x86_64	1.4.7-11.el6	@base
iputils.x86_64	20071127-17.el6_4.2	@base
kbd.x86_64	1.15-11.el6	@base
kbd-misc.noarch	1.15-11.el6	@base
kernel.x86_64	2.6.32-431.11.2.el6	@updates
kernel-firmware.noarch	2.6.32-431.11.2.el6	@updates
keyutils-libs.x86_64	1.4-4.el6	@base
